                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6638,                   1.85,                 1.0794,                0.93074,                0.84571,                0.89642,                0.46468,                 1.7039,                 0.9013,                 1.0798,              0.0033291,              0.0033291,              0.0033291
                      1,                 1.6553,                 0.9269,                 1.0696,                 0.9456,                0.82662,                0.88262,                0.45282,                 1.7002,                  1.015,                 1.0969,              0.0066404,              0.0066404,              0.0066404
                      2,                 1.7346,                 1.0374,                 1.1019,                0.92474,                0.80775,                0.86638,                0.43539,                  1.767,                 1.0194,                  1.134,              0.0099298,              0.0099298,              0.0099298
                      3,                 1.7437,                 1.0392,                 1.1162,                0.91176,                0.74685,                0.82874,                0.42838,                 1.7726,                 1.1286,                 1.1538,               0.009901,               0.009901,               0.009901
                      4,                 1.6735,                0.94521,                 1.1002,                 0.9639,                 0.7972,                0.87504,                0.45453,                 1.7374,                 1.0217,                 1.1355,               0.009901,               0.009901,               0.009901
                      5,                 1.6407,                0.90329,                 1.0855,                0.93938,                0.87413,                 0.9226,                0.49541,                 1.6882,                0.89231,                 1.1213,               0.009868,               0.009868,               0.009868
                      6,                 1.6111,                0.87001,                 1.0763,                0.91936,                0.87832,                0.92502,                0.49493,                 1.6227,                0.87436,                 1.0969,               0.009835,               0.009835,               0.009835
                      7,                 1.5788,                0.84029,                 1.0634,                0.93504,                0.84548,                0.89998,                0.47673,                 1.6792,                0.88801,                 1.1039,               0.009802,               0.009802,               0.009802
                      8,                 1.5439,                0.80287,                 1.0489,                0.95564,                 0.9007,                0.94019,                0.53161,                 1.5639,                0.78393,                 1.0763,               0.009769,               0.009769,               0.009769
                      9,                 1.5028,                0.77721,                 1.0383,                  0.955,                 0.8993,                 0.9423,                0.53304,                 1.5813,                0.80322,                 1.0632,               0.009736,               0.009736,               0.009736
                     10,                 1.4909,                0.76247,                 1.0345,                0.94843,                0.90629,                0.95011,                0.52253,                 1.5989,                0.77042,                 1.0733,               0.009703,               0.009703,               0.009703
                     11,                 1.4544,                0.73473,                 1.0093,                0.95361,                0.89121,                0.93636,                0.51731,                 1.6013,                0.80019,                 1.0638,                0.00967,                0.00967,                0.00967
                     12,                 1.4459,                0.73712,                 1.0156,                0.94367,                0.91371,                 0.9538,                0.53864,                 1.5819,                0.73189,                 1.0732,               0.009637,               0.009637,               0.009637
                     13,                 1.4235,                0.71748,                 1.0065,                0.95468,                0.91049,                0.94804,                0.56517,                 1.4978,                0.69996,                 1.0451,               0.009604,               0.009604,               0.009604
                     14,                 1.3892,                0.69947,                 0.9971,                0.96214,                  0.924,                0.96111,                0.57373,                 1.4749,                0.68891,                 1.0407,               0.009571,               0.009571,               0.009571
                     15,                 1.3759,                0.68262,                0.98866,                0.93701,                0.94685,                0.96165,                0.55639,                 1.5133,                0.67254,                 1.0473,               0.009538,               0.009538,               0.009538
                     16,                 1.3666,                0.68454,                0.99348,                0.94894,                0.93572,                0.95825,                0.55636,                 1.5058,                0.67189,                 1.0486,               0.009505,               0.009505,               0.009505
                     17,                 1.3588,                0.67884,                0.99068,                 0.9564,                0.93287,                0.96003,                0.55458,                 1.5082,                0.67281,                 1.0444,               0.009472,               0.009472,               0.009472
                     18,                 1.3336,                 0.6598,                0.98351,                0.95691,                0.93287,                0.96101,                0.56858,                 1.4892,                0.65983,                 1.0358,               0.009439,               0.009439,               0.009439
                     19,                 1.3284,                0.65639,                0.97713,                0.94221,                0.93489,                0.95758,                 0.5684,                  1.477,                 0.6437,                 1.0358,               0.009406,               0.009406,               0.009406
                     20,                  1.316,                0.64862,                0.97133,                0.95255,                0.95385,                 0.9671,                0.57638,                 1.4637,                0.63432,                 1.0369,               0.009373,               0.009373,               0.009373
                     21,                  1.295,                0.63413,                 0.9693,                0.93908,                0.94868,                0.96284,                0.57484,                 1.4526,                0.62944,                 1.0366,                0.00934,                0.00934,                0.00934
                     22,                 1.2895,                0.62971,                0.96774,                0.94868,                0.93066,                0.95094,                0.56826,                 1.4759,                0.64878,                 1.0475,               0.009307,               0.009307,               0.009307
                     23,                 1.2719,                0.62669,                0.96176,                0.94708,                0.93846,                0.96363,                0.59257,                 1.4485,                0.63782,                 1.0371,               0.009274,               0.009274,               0.009274
                     24,                 1.2572,                0.62339,                 0.9564,                0.95348,                0.94593,                 0.9658,                0.58077,                 1.4656,                0.61481,                 1.0359,               0.009241,               0.009241,               0.009241
                     25,                  1.241,                0.61081,                0.95532,                0.95119,                0.93706,                0.96391,                0.58037,                 1.4425,                 0.6179,                 1.0443,               0.009208,               0.009208,               0.009208
                     26,                 1.2213,                0.59838,                 0.9468,                0.95605,                0.94303,                0.96556,                0.58715,                 1.4354,                0.60469,                  1.029,               0.009175,               0.009175,               0.009175
                     27,                 1.2165,                 0.5942,                0.94892,                0.94713,                0.95216,                0.96218,                0.58731,                 1.4503,                0.59618,                 1.0369,               0.009142,               0.009142,               0.009142
                     28,                 1.2174,                0.59414,                0.94638,                0.95348,                0.94595,                0.96638,                0.58564,                 1.4324,                0.58836,                 1.0334,               0.009109,               0.009109,               0.009109
                     29,                 1.2038,                0.58725,                0.94528,                0.95675,                0.95908,                0.97093,                0.58738,                  1.441,                0.59195,                 1.0362,               0.009076,               0.009076,               0.009076
                     30,                 1.1942,                0.58843,                0.93901,                0.94475,                0.95657,                0.96742,                0.58856,                 1.4416,                0.58621,                 1.0393,               0.009043,               0.009043,               0.009043
                     31,                 1.1805,                 0.5742,                 0.9361,                0.95371,                0.95091,                0.96754,                0.59323,                 1.4169,                0.57843,                 1.0295,                0.00901,                0.00901,                0.00901
